match data
Row(Id=25413, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=370224, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=3319, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=120339, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=167145, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=3319, normalPasses=2, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=0.5, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=8653, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=8013, normalPasses=0, keyPasses=0, accNormalPasses=0, accKeyPasses=0, passAccuracy=0.0, duelsWon=0, neutralDuels=0, totalDuels=1, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
match data
Row(Id=167145, normalPasses=2, keyPasses=0, accNormalPasses=2, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
Row(Id=49876, normalPasses=1, keyPasses=0, accNormalPasses=1, accKeyPasses=0, passAccuracy=1.0, duelsWon=0, neutralDuels=0, totalDuels=0, duelEffectiveness=0.0, effectiveFreeKicks=0, penaltiesScored=0, totalFreeKicks=0, freeKick=0, targetAndGoal=0, targetNotGoal=0, totalShots=0, shotsOnTarget=0, shotsEffectiveness=0, foulLoss=0, ownGoals=0)
