name,birthArea,birthDate,foot,role,height,passportArea,weight
Andr\u00e9 Ramalho Silva,Brazil,1992-02-16,right,DF,182,Brazil,78
Tom\u00e1\u0161 Hubo\u010dan,Slovakia,1985-09-17,right,DF,184,Slovakia,70
Marc Muniesa Mart\u00ednez,Spain,1992-03-27,left,DF,179,Spain,72
Leonardo Capezzi,Italy,1995-03-28,right,MD,178,Italy,72
Lionel Andr\u00e9s Messi Cuccittini,Argentina,1987-06-24,left,FW,170,Spain,72
Alexis Ruano Delgado,Spain,1985-08-04,right,DF,183,Spain,75
Mehdi Carcela-Gonz\u00e1lez,Belgium,1989-07-01,left,MD,176,Morocco,67
Mehdi Lacen,France,1984-03-15,left,MD,176,Algeria,70
Jos\u00e9 Vicente G\u00f3mez Umpi\u00e9rrez,Spain,1988-08-31,left,MD,186,Spain,78
Luis Hern\u00e1ndez Rodr\u00edguez,Spain,1989-04-14,right,DF,183,Spain,75
J\u00e1n \u010eurica,Slovakia,1981-12-10,left,DF,188,Slovakia,86
Gareth Frank Bale,Wales,1989-07-16,left,FW,185,Wales,81
John Stones,England,1994-05-28,right,DF,188,England,75
Bertrand Isidore Traor\u00e9,Burkina Faso,1995-09-06,left,FW,181,Burkina Faso,73
Amr Medhat Warda,Egypt,1993-09-17,right,MD,176,Egypt,70
Ronaldo  Aparecido Rodrigues,Brazil,1982-09-10,right,DF,198,Germany,91
\u00c1d\u00e1m Szalai,Hungary,1987-12-09,right,FW,193,Hungary,90
Sebastian Maier,Germany,1993-09-18,right,MD,179,Germany,68
Benjamin H\u00fcbner,Germany,1989-07-04,left,DF,193,Germany,86
Jan Mor\u00e1vek,Czech Republic,1989-11-01,right,MD,180,Czech Republic,77
Christian Guillermo Mart\u00edn Ramos Garagay,Peru,1988-11-04,right,DF,185,Peru,74
Caiuby Francisco da Silva,Brazil,1988-07-14,left,MD,184,Brazil,85
Samuel Bastien,Belgium,1996-09-26,right,MD,177,Belgium,73
Stefano Sensi,Italy,1995-08-05,right,MD,168,Italy,62
M\u00e1rio Figueira Fernandes,Brazil,1990-09-19,right,DF,187,Russia,80
Hans Carl Ludwig Augustinsson,Sweden,1994-04-21,left,DF,181,Sweden,75
Wilfride Kanga Aka,France,1998-02-21,right,FW,185,C\u00f4te d'Ivoire,76
Marek Such\u00fd,Czech Republic,1988-03-29,right,DF,183,Czech Republic,84
Ezequiel Mu\u00f1oz,Argentina,1990-10-08,right,DF,185,Spain,78
Lisandro Ezequiel L\u00f3pez,Argentina,1989-09-01,right,DF,188,Spain,82
Orel Mangala,Belgium,1998-03-18,right,MD,180,Belgium,78
Sofyan Amrabat,Netherlands,1996-08-21,right,MD,182,Morocco,70
Yussuf Yurary Poulsen,Denmark,1994-06-15,right,FW,193,Tanzania,78
Arnaud Lusamba,France,1997-01-04,right,MD,180,Congo DR,61
Abdoul Razzagui Camara,Guinea,1990-02-20,left,MD,178,France,70
K\u00e9vin Monnet-Paquet,France,1988-08-19,right,FW,184,Rwanda,81
Na\u00efm Sliti,France,1992-07-27,right,MD,173,Tunisia,75
Darko Lazovi\u0107,Serbia,1990-09-15,right,MD,181,Serbia,74
Manuel Lazzari,Italy,1993-11-29,right,MD,174,Italy,67
Jonathan Tah,Germany,1996-02-11,right,DF,194,C\u00f4te d'Ivoire,95
Sel\u00e7uk \u0130nan,Turkey,1985-02-10,right,MD,182,Turkey,74
Chris Gunter,Wales,1989-07-21,right,DF,180,Wales,71
Aleksandar Mitrovi\u0107,Serbia,1994-09-16,right,FW,189,Serbia,82
Jackson Irvine,Australia,1993-03-07,right,MD,189,Scotland,80
Patrick Alberto Pemberton Bernard,Costa Rica,1982-04-24,right,GK,178,Costa Rica,75
Vitja Valen\u010di\u010d,Slovenia,1999-03-12,right,MD,177,Slovenia,76
Orji Okwonkwo,Nigeria,1998-01-19,right,FW,178,Nigeria,72
Matteo Darmian,Italy,1989-12-02,right,DF,182,Italy,70
Ragnar Klavan,Estonia,1985-10-30,left,DF,187,Estonia,78
Gareth Barry,England,1981-02-23,left,MD,185,England,79
Paul Dummett,England,1991-09-26,left,DF,183,Wales,77
Konstantinos Mavropanos,Greece,1997-12-11,right,DF,192,Greece,80
Harvey Barnes,England,1997-12-09,right,MD,174,England,66
C\u00e9dric Bakambu,France,1991-04-11,right,FW,182,Congo DR,74
Leonardo Gabriel Su\u00e1rez,Argentina,1996-03-03,left,MD,167,Argentina,60
Konstantinos Mitroglou,Greece,1988-03-12,left,FW,188,Germany,86
Hamari Traor\u00e9,Mali,1992-01-27,right,DF,175,Mali,73
